Features,Strength
"(13, 15)",46.97567768096951
"(8, 9)",35.121476364135866
"(9, 15)",28.30948638916044
"(8, 15)",26.638468170166455
"(8, 9, 15)",23.14968776702881
"(5, 13)",19.63262615203874
"(8, 10)",17.52727317810072
"(3, 5, 13)",16.464945793151855
"(6, 13)",14.739998245239445
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",14.055187381768453
"(8, 9, 11, 15)",13.834880065917968
"(8, 9, 11, 13, 15)",12.544914245605469
"(6, 12, 13)",12.035993957519532
"(9, 13)",11.532674026490877
"(9, 11, 15)",10.890234565734904
"(5, 8, 9)",9.27095947265625
"(5, 9)",9.059946441650391
"(15, 16)",8.287344360351563
"(10, 15, 16)",8.190753936767578
"(3, 13)",8.057740020751954
"(11, 13, 15)",7.3325069427491005
"(1, 8, 9, 10, 11, 15)",7.112503242492676
"(1, 5, 9)",6.698626708984375
"(1, 8)",6.657713317871094
"(6, 12, 13, 16)",6.552630424499512
"(11, 15)",6.491954994201729
"(9, 13, 15)",5.972723007202148
"(5, 9, 13, 16)",5.468971633911133
"(12, 13)",5.18796844482438
"(1, 3, 5, 13)",5.161162948608398
"(8, 9, 11)",4.976090812683106
"(10, 15)",4.932015228271484
"(3, 9, 13, 15)",4.914672470092773
"(6, 9, 12, 13, 15, 16)",4.841808319091797
"(12, 15)",4.762049579620362
"(8, 13, 15)",4.726810455322266
"(3, 8, 9, 13, 15)",4.585725784301758
"(4, 9, 13)",4.570980834960937
"(1, 13, 15)",4.512489700317383
"(3, 8, 13, 15)",4.458302688598633
"(7, 11)",4.394184112548828
"(1, 9, 13, 15)",4.242439270019531
"(1, 8, 9, 13, 15)",4.183291244506836
"(4, 7, 9, 13)",4.1178028106689455
"(4, 12, 15)",3.918787384033203
"(4, 7, 9, 12, 13)",3.8725990295410155
"(3, 4, 7, 9, 12, 13)",3.7420005798339844
"(7, 16)",3.668203353882022
"(1, 9)",3.6621540069580076
"(5, 8, 13)",3.6617183685302734
"(1, 5, 8, 9, 13, 15)",3.6171901702880858
"(3, 4, 7, 9, 11, 12, 13)",3.6151329040527345
"(6, 13, 16)",3.5211158752441407
"(1, 3, 9)",3.493524932861328
"(3, 4, 7, 9, 11, 12, 13, 15)",3.4700130462646483
"(11, 15, 16)",3.430169677734429
"(5, 9, 16)",3.4192855834960936
"(6, 9, 12, 13, 16)",3.2754467010498045
"(9, 11, 14, 15)",3.2685836791992187
"(8, 9, 13, 15)",3.222551727294922
"(1, 3, 4, 5, 13)",3.204883575439453
"(3, 8, 12, 13, 15)",3.189093589782715
"(4, 9)",3.164357566833529
"(8, 10, 15)",3.1454996109009214
"(8, 9, 11, 14, 15)",3.1185789108276367
"(5, 10, 13)",3.116866874694824
"(1, 10)",3.1113378524780275
"(8, 9, 13, 15, 16)",3.1031179428100586
"(4, 10, 12, 15)",3.0803501129150392
"(6, 12, 13, 15, 16)",3.0731498718262076
"(8, 10, 15, 16)",3.072769355773926
"(1, 5, 8, 9, 11, 13, 15)",3.066940116882324
"(8, 9, 11, 13)",2.9994720458984374
"(8, 11)",2.9902307510376547
"(6, 8, 10)",2.961015701293986
"(3, 5, 10, 13)",2.9427433013916016
"(6, 12, 13, 15)",2.942185974121094
"(10, 11)",2.9251008987427136
"(1, 9, 11, 15)",2.923789405822754
"(5, 16)",2.920737838745156
"(7, 13, 15)",2.918436145782471
"(1, 5, 8, 13)",2.890368843078613
"(1, 5, 8, 9, 11, 13, 15, 16)",2.887673759460449
"(8, 9, 10, 11, 14, 15)",2.886402130126953
"(1, 5, 8, 9, 11, 13, 14, 15, 16)",2.883777046203613
"(1, 5, 8, 10, 13)",2.8836320877075194
"(1, 10, 14)",2.861128044128418
"(5, 8, 9, 13, 15, 16)",2.8371620178222656
"(5, 13, 16)",2.8034151077270506
"(8, 9, 10, 11, 13, 14, 15)",2.7975341796875
"(4, 9, 15)",2.7917512893676757
"(4, 9, 11, 15)",2.7852975845336916
"(6, 12)",2.7577884674072264
"(3, 4, 7, 8, 9, 11, 12, 13, 15)",2.755031967163086
"(4, 9, 11, 14, 15)",2.7348133087158204
"(4, 10, 12, 13, 15)",2.701527214050293
"(5, 9, 15)",2.683744430541992
"(1, 8, 9, 11, 15)",2.6829706192016602
"(3, 8, 9, 12, 13, 15)",2.6742626190185548
"(1, 6, 10, 14)",2.6370038986206055
"(4, 12)",2.6179319381714574
"(1, 2, 3, 4, 5, 13)",2.591560173034668
"(1, 6, 10, 13)",2.576045417785667
"(3, 8, 9, 10, 11, 13, 14, 15)",2.5664785385131834
"(3, 4, 8, 9, 10, 11, 13, 14, 15)",2.556099510192871
"(7, 8, 9, 15)",2.5297170639038087
"(10, 11, 15, 16)",2.478906440734863
"(5, 9, 12, 15)",2.4385307312011717
"(1, 5, 9, 12, 15)",2.423773002624512
"(1, 5, 15)",2.391585922241211
"(6, 9, 10, 12, 13, 15, 16)",2.3881048202514648
"(8, 11, 13, 15)",2.379413604736328
"(5, 8, 9, 11, 13, 15)",2.351380729675293
"(4, 8, 10, 12, 13, 15)",2.338207244873047
"(5, 9, 11, 13, 14, 15)",2.3093957901000977
"(3, 8, 10, 15, 16)",2.3060832977294923
"(3, 8, 11, 12, 13, 15)",2.2898162841796874
"(1, 6, 8, 10)",2.286925506591797
"(11, 12)",2.2863086700439452
"(1, 5, 9, 13, 16)",2.2642879486084166
"(3, 9, 12)",2.2542957305908202
"(8, 10, 11)",2.2460687637329353
"(3, 5, 8, 10, 13)",2.2441421508789063
"(2, 4, 8, 10, 12, 13, 15)",2.2126855850219727
"(8, 10, 11, 12)",2.212590217590332
"(6, 7, 9, 10, 12, 13, 15, 16)",2.1885915756225587
"(1, 9, 13)",2.173552894592285
"(4, 12, 14)",2.1568870544433594
"(6, 7, 12, 13, 15)",2.14644832611084
"(4, 12, 14, 16)",2.126515197753906
"(3, 9, 12, 13)",2.089058685302734
"(1, 3, 8, 11, 12, 13, 15)",2.0862926483154296
"(7, 8, 9, 11, 15)",2.0835777282714845
"(7, 10, 11, 15, 16)",2.076815605163574
"(7, 8, 9, 11, 12, 15)",2.0573713302612306
"(3, 4, 5, 8, 10, 13)",2.051318359375
"(1, 6, 8, 10, 11)",2.0482128143310545
"(4, 8, 9)",2.046569252014231
"(6, 7, 9, 10, 11, 12, 13, 15, 16)",2.0156688690185547
"(1, 5, 9, 12, 14, 15)",2.0153791427612306
"(3, 4, 5, 8, 9, 10, 11, 13, 14, 15)",2.0127906799316406
"(6, 7, 9, 12, 13, 15, 16)",2.012034034729004
"(1, 5, 8, 9, 10, 11, 15)",1.9999202728271483
"(1, 3, 8, 9, 11, 12, 13, 15)",1.9993637084960938
"(6, 7, 12, 13, 15, 16)",1.985984992980957
"(3, 4, 6, 7, 8, 9, 11, 12, 13, 15)",1.9585723876953125
"(5, 7, 9, 13, 16)",1.9574228286743165
"(8, 15, 16)",1.9525955200195313
"(3, 4, 5, 13)",1.940824317932129
"(1, 3, 5, 9, 12, 14, 15)",1.9348505020141602
"(4, 10, 12, 14, 16)",1.8995182037353515
"(3, 4, 5, 10, 13)",1.8905149459838868
"(3, 4, 5, 9, 10, 13)",1.8855045318603516
"(7, 8, 9, 11, 12, 15, 16)",1.8779005050659179
"(1, 3, 4, 5, 8, 10, 13)",1.8571741104125976
"(1, 2, 4, 8, 10, 12, 13, 15)",1.854441261291504
"(5, 15)",1.8279512405395846
"(1, 5, 6, 10, 13)",1.8201459884643554
"(1, 4, 5, 6, 10, 13)",1.7947710037231446
"(1, 5, 8, 10, 12, 13)",1.7927753448486328
"(3, 11)",1.7705581665040906
"(3, 8, 9, 12, 13)",1.7628763198852817
"(5, 8, 9, 12, 15, 16)",1.7570177078247071
"(1, 5, 12, 15)",1.735387992858921
"(1, 6, 10)",1.726174545288086
"(1, 6, 10, 11)",1.7122159957885743
"(1, 6, 10, 11, 14)",1.6764190673828125
"(8, 9, 10, 16)",1.6168657302856446
"(1, 8, 9, 10, 11, 14, 15)",1.5685523986816405
